"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"1,1,1-Trichloropropanone","CC(=O)C(Cl)(Cl)Cl","-5.176","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","40","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"1,1-Dichloropropanone","ClC(C(=O)C)Cl","-4.923","breast","epidermis, dermis","dermatomed 250-280um","-20","","0","40","7","Water","37","7.4","PBS","Glass diffusion cell","Xu, 2002","10.1006/taap.2002.9494"
"1,2,4-Benzenetriol","Oc1ccc(c(c1)O)O","-7.456","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"1,6-hexanediol diglycidyl ether","C(CCOCC1OC1)CCCOCC1OC1","-7.423","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","Boogaard, 2000","10.1080/004982500237488"
"1-Butanol","CCCCO","-6.079","abdomen","epidermis","heat separation","","","0","","","","","","","Glass diffusion cell","Blank, 1967","10.1038/jid.1967.184"
"1-Butanol","CCCCO","-5.481","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Butanol","CCCCO","-5.659","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Butanol","CCCCO","-6.214","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"1-Butanol","CCCCO","-6.214","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"1-Butanol","CCCCO","-6.158","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Butanol","CCCCO","-6.079","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"1-Butanol","CCCCO","-7.778","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Butanol","CCCCO","-6.158","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Butanol","CCCCO","-5.816","abdomen","epidermis, dermis","fat removed","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Butanol","CCCCO","-5.193","abdomen","dermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Butanol","CCCCO","-4.703","abdomen","epidermis without stratum corneum","tape-stripped","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Butanol","CCCCO","-6.556","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Butanol","CCCCO","-5.079","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Decanol","CCCCCCCCCCO","-5.515","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"1-Decanol","CCCCCCCCCCO","-4.701","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Decanol","CCCCCCCCCCO","-4.602","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"1-Decanol","CCCCCCCCCCO","-9.653","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Decanol","CCCCCCCCCCO","-4.653","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Decanol","CCCCCCCCCCO","-6.41","abdomen","epidermis, dermis","fat removed","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Decanol","CCCCCCCCCCO","-5.832","abdomen","dermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Dodecyl glycidyl ether","CCCCCCCCCCCCOCC1OC1","-9.036","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","Boogaard, 2000","10.1080/004982500237488"
"1-Heptanol","CCCCCCCO","-5.051","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Heptanol","CCCCCCCO","-4.981","","epidermis","","","","0","30","","","30","","","","Scheuplein, 1967","10.1038/jid.1967.11"
"1-Heptanol","CCCCCCCO","-2.051","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Heptanol","CCCCCCCO","-5.051","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Heptanol","CCCCCCCO","-8.158","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Heptanol","CCCCCCCO","-5.158","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Heptanol","CCCCCCCO","-7.711","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Hexanol","CCCCCCO","-5.284","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Hexanol","CCCCCCO","-5.051","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Hexanol","CCCCCCO","-5.442","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Hexanol","CCCCCCO","-2.442","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Hexanol","CCCCCCO","-5.442","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Hexanol","CCCCCCO","-7.84","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Hexanol","CCCCCCO","-4.859","scalp","epidermis, dermis","dermatomed 420um, hydrated 10d","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"1-Hexanol","CCCCCCO","-5.114","abdomen","epidermis, dermis","dermatomed 420um","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"1-Hexanol","CCCCCCO","-4.888","scalp","epidermis, dermis","dermatomed 420um, hydrated 0.25d","-20","210","0","31","","","31","","Sodium azide","","Bond, 1988","10.1111/1523-1747.ep12460958"
"1-Hexanol","CCCCCCO","-5.778","abdomen","epidermis, dermis","fat removed","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Hexanol","CCCCCCO","-5.637","abdomen","dermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Hexanol","CCCCCCO","-5.255","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Hexanol","CCCCCCO","-7.012","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Hexyl-2-Pyrrolidone","CCCCCCN1CCCC1=O","-5.208","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Methoxy-2-Propanol","COCC(O)C","-6.397","breast","epidermis, dermis","dermatomed 330um","-70","","0","","7.4","","32","7.4","Eagle’s Minimal Essential Medium, sodium hydrogen carbonate, gentamicin","Glass diffusion cell","Wilkinson, 2002","10.1007/s00420-002-0367-8"
"1-Methoxypropan-2-ol","COCC(O)C","-6.459","abdomen","epidermis","heat separation","","","1","30","","","30","","Water","Glass diffusion cell","Dugard, 1984","10.1289/ehp.8457193"
"1-Nonanol","CCCCCCCCCO","-1.778","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Nonanol","CCCCCCCCCO","-4.778","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Nonanol","CCCCCCCCCO","-9.079","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Octanol","CCCCCCCCO","-4.84","abdomen","epidermis, dermis","fat removed","","","0","22","","NaCl solution","22","","NaCl solution","","Blank, 1964","10.1038/jid.1964.174"
"1-Octanol","CCCCCCCCO","-4.87","abdomen","epidermis","heat separation","-20","","0","","","","37","","","Glass diffusion cell","Chantasart, 2010","10.1007/s11095-010-0181-z"
"1-Octanol","CCCCCCCCO","-4.586","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Octanol","CCCCCCCCO","-4.711","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"1-Octanol","CCCCCCCCO","-4.84","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"1-Octanol","CCCCCCCCO","-1.84","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"1-Octanol","CCCCCCCCO","-4.84","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Octanol","CCCCCCCCO","-8.556","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"1-Octanol","CCCCCCCCO","-5.642","abdomen","epidermis, dermis","fat removed","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"1-Octanol","CCCCCCCCO","-5.764","abdomen","dermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
